UF_Cod;uf_sigla;Cod_TSE_5;Cod_IBGE;uf_des;Meso_Cod;Meso_Des;Micro_cod;Micro_Des;NOME DO MUNIC÷PIO;macro_cod;macro_des
11;RO;00310;1100015;Rondìnia;2;Leste Rondoniense;6;Cacoal;Alta Floresta D'Oeste;1;Norte
11;RO;00078;1100023;Rondìnia;2;Leste Rondoniense;3;Ariquemes;Ariquemes;1;Norte
11;RO;00450;1100031;Rondìnia;2;Leste Rondoniense;8;Colorado do Oeste;Cabixi;1;Norte
11;RO;00094;1100049;Rondìnia;2;Leste Rondoniense;6;Cacoal;Cacoal;1;Norte
11;RO;00272;1100056;Rondìnia;2;Leste Rondoniense;8;Colorado do Oeste;Cerejeiras;1;Norte
11;RO;00230;1100064;Rondìnia;2;Leste Rondoniense;8;Colorado do Oeste;Colorado do Oeste;1;Norte
11;RO;00655;1100072;Rondìnia;2;Leste Rondoniense;8;Colorado do Oeste;Corumbiara;1;Norte
11;RO;00213;1100080;Rondìnia;1;Madeira-GuaporÇ;2;Guajar†-Mirim;Costa Marques;1;Norte
11;RO;00256;1100098;Rondìnia;2;Leste Rondoniense;6;Cacoal;Espig∆o D'Oeste;1;Norte
11;RO;00019;1100106;Rondìnia;1;Madeira-GuaporÇ;2;Guajar†-Mirim;Guajar†-Mirim;1;Norte
11;RO;00159;1100114;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Jaru;1;Norte
11;RO;00051;1100122;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Ji-Paran†;1;Norte
11;RO;00396;1100130;Rondìnia;2;Leste Rondoniense;3;Ariquemes;Machadinho D'Oeste;1;Norte
11;RO;00370;1100148;Rondìnia;2;Leste Rondoniense;5;Alvorada D'Oeste;Nova BrasilÉndia D'Oeste;1;Norte
11;RO;00175;1100155;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Ouro Preto do Oeste;1;Norte
11;RO;00116;1100189;Rondìnia;2;Leste Rondoniense;7;Vilhena;Pimenta Bueno;1;Norte
11;RO;00035;1100205;Rondìnia;1;Madeira-GuaporÇ;1;Porto Velho;Porto Velho;1;Norte
11;RO;00191;1100254;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Presidente MÇdici;1;Norte
11;RO;00647;1100262;Rondìnia;2;Leste Rondoniense;3;Ariquemes;Rio Crespo;1;Norte
11;RO;00299;1100288;Rondìnia;2;Leste Rondoniense;6;Cacoal;Rolim de Moura;1;Norte
11;RO;00353;1100296;Rondìnia;2;Leste Rondoniense;6;Cacoal;Santa Luzia D'Oeste;1;Norte
11;RO;00132;1100304;Rondìnia;2;Leste Rondoniense;7;Vilhena;Vilhena;1;Norte
11;RO;00418;1100320;Rondìnia;2;Leste Rondoniense;5;Alvorada D'Oeste;S∆o Miguel do GuaporÇ;1;Norte
11;RO;00434;1100338;Rondìnia;1;Madeira-GuaporÇ;1;Porto Velho;Nova MamorÇ;1;Norte
11;RO;00337;1100346;Rondìnia;2;Leste Rondoniense;5;Alvorada D'Oeste;Alvorada D'Oeste;1;Norte
11;RO;00736;1100379;Rondìnia;2;Leste Rondoniense;6;Cacoal;Alto Alegre dos Parecis;1;Norte
11;RO;00639;1100403;Rondìnia;2;Leste Rondoniense;3;Ariquemes;Alto Para°so;1;Norte
11;RO;00779;1100452;Rondìnia;1;Madeira-GuaporÇ;1;Porto Velho;Buritis;1;Norte
11;RO;00515;1100502;Rondìnia;2;Leste Rondoniense;6;Cacoal;Novo Horizonte do Oeste;1;Norte
11;RO;00620;1100601;Rondìnia;2;Leste Rondoniense;3;Ariquemes;CacaulÉndia;1;Norte
11;RO;00671;1100700;Rondìnia;1;Madeira-GuaporÇ;1;Porto Velho;Campo Novo de Rondìnia;1;Norte
11;RO;00477;1100809;Rondìnia;1;Madeira-GuaporÇ;1;Porto Velho;Candeias do Jamari;1;Norte
11;RO;00531;1100908;Rondìnia;2;Leste Rondoniense;6;Cacoal;Castanheiras;1;Norte
11;RO;00809;1100924;Rondìnia;2;Leste Rondoniense;7;Vilhena;Chupinguaia;1;Norte
11;RO;00680;1100940;Rondìnia;1;Madeira-GuaporÇ;1;Porto Velho;Cujubim;1;Norte
11;RO;00612;1101005;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Governador Jorge Teixeira;1;Norte
11;RO;00493;1101104;Rondìnia;1;Madeira-GuaporÇ;1;Porto Velho;Itapu∆ do Oeste;1;Norte
11;RO;00604;1101203;Rondìnia;2;Leste Rondoniense;6;Cacoal;Ministro Andreazza;1;Norte
11;RO;00574;1101302;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Mirante da Serra;1;Norte
11;RO;00663;1101401;Rondìnia;2;Leste Rondoniense;3;Ariquemes;Monte Negro;1;Norte
11;RO;00744;1101435;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Nova Uni∆o;1;Norte
11;RO;00701;1101450;Rondìnia;2;Leste Rondoniense;7;Vilhena;Parecis;1;Norte
11;RO;00787;1101468;Rondìnia;2;Leste Rondoniense;8;Colorado do Oeste;Pimenteiras do Oeste;1;Norte
11;RO;00728;1101476;Rondìnia;2;Leste Rondoniense;7;Vilhena;Primavera de Rondìnia;1;Norte
11;RO;00710;1101484;Rondìnia;2;Leste Rondoniense;7;Vilhena;S∆o Felipe D'Oeste;1;Norte
11;RO;00795;1101492;Rondìnia;1;Madeira-GuaporÇ;2;Guajar†-Mirim;S∆o Francisco do GuaporÇ;1;Norte
11;RO;00582;1101500;Rondìnia;2;Leste Rondoniense;5;Alvorada D'Oeste;Seringueiras;1;Norte
11;RO;00752;1101559;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Teixeir¢polis;1;Norte
11;RO;00590;1101609;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Theobroma;1;Norte
11;RO;00566;1101708;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Urup†;1;Norte
11;RO;00698;1101757;Rondìnia;2;Leste Rondoniense;3;Ariquemes;Vale do Anari;1;Norte
11;RO;00558;1101807;Rondìnia;2;Leste Rondoniense;4;Ji-Paran†;Vale do Para°so;1;Norte
12;AC;01120;1200013;Acre;2;Vale do Acre;4;Rio Branco;AcrelÉndia;1;Norte
12;AC;01570;1200054;Acre;2;Vale do Acre;5;BrasilÇia;Assis Brasil;1;Norte
